Season,Team,Conference,Finish,Division,Finish2,Wins,Losses,Win%,GB,Playoffs,Awards,Head coach
1966–67,1966–67,—,—,Western,4th,33,48,0.407,11,Lost Division Semifinals (Hawks) 3–0,"Johnny Kerr
(COY)",Johnny Kerr
1967–68,1967–68,—,—,Western,4th,29,53,0.354,27,Lost Division Semifinals (Lakers) 4–1,—,Johnny Kerr
1968–69,1968–69,—,—,Western,5th,33,49,0.402,22,,—,Dick Motta
1969–70,1969–70,—,—,Western,3rd,39,43,0.476,9,Lost Division Semifinals (Hawks) 4–1,—,Dick Motta
1970–71,1970–71,Western,3rd,Midwest,2nd,51,31,0.622,2,Lost Conference Semifinals (Lakers) 4–3,"Dick Motta
(COY)",Dick Motta
1971–72,1971–72,Western,3rd,Midwest,2nd,57,25,0.695,6,Lost Conference Semifinals (Lakers) 4–0,—,Dick Motta
1972–73,1972–73,Western,3rd,Midwest,2nd,51,31,0.622,9,Lost Conference Semifinals (Lakers) 4–3,—,Dick Motta
1973–74,1973–74,Western,3rd,Midwest,2nd,54,28,0.659,9,"Won Conference Semifinals (Pistons) 4–3
Lost Conference Finals (Bucks) 4–0",—,Dick Motta
1974–75,1974–75,Western,2nd,Midwest,1st,47,35,0.573,—,"Won Conference Semifinals (Kings) 4–2
Lost Conference Finals (Warriors) 4–3",—,Dick Motta
1975–76,1975–76,Western,9th,Midwest,4th,24,58,0.293,14,,—,Dick Motta
1976–77,1976–77,Western,6th,Midwest,3rd,44,38,0.537,6,Lost First Round (Trail Blazers) 2–1,—,Ed Badger
1977–78,1977–78,Western,8th,Midwest,3rd,40,42,0.488,8,,—,Ed Badger
1978–79,1978–79,Western,11th,Midwest,5th,31,51,0.378,17,,—,"Larry Costello 
Scotty Robertson"
1979–80,1979–80,Western,9th,Midwest,4th,30,52,0.366,19,,—,Jerry Sloan
1980–81,1980–81,Eastern,5th,Central,2nd,45,37,0.549,15,"Won First Round (Knicks) 2–0 
Lost Conference Semifinals (Celtics) 4–0",—,Jerry Sloan
1981–82,1981–82,Eastern,9th,Central,5th,34,48,0.415,21,,—,"Jerry Sloan 
Phil Johnson 
Rod Thorn"
